28-04-2018 00:05:11.824 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [gov.nist.oar.distrib.storage.AWSS3LongTermStorageTest], using DelegatingSmartContextLoader
28-04-2018 00:05:11.891 [main] INFO  o.s.t.c.s.AbstractContextLoader.generateDefaultLocations - Could not detect default resource locations for test class [gov.nist.oar.distrib.storage.AWSS3LongTermStorageTest]: no resource found for suffixes {-context.xml}.
28-04-2018 00:05:11.894 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [gov.nist.oar.distrib.storage.AWSS3LongTermStorageTest]: AWSS3LongTermStorageTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
28-04-2018 00:05:12.108 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
28-04-2018 00:05:12.156 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.instantiateListeners - Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/TransactionDefinition]
28-04-2018 00:05:12.159 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.instantiateListeners - Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
28-04-2018 00:05:12.160 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@40e32762, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5a8ab2, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@3f50b680, org.springframework.test.context.support.DirtiesContextTestExecutionListener@54db056b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@d5af0a5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5981f4a6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@63dfada0, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6f231ced, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@35a60674, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@63d4f0a2]
28-04-2018 00:05:12.167 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [gov.nist.oar.distrib.storage.FilesystemLongTermStorageTest], using DelegatingSmartContextLoader
28-04-2018 00:05:12.169 [main] INFO  o.s.t.c.s.AbstractContextLoader.generateDefaultLocations - Could not detect default resource locations for test class [gov.nist.oar.distrib.storage.FilesystemLongTermStorageTest]: no resource found for suffixes {-context.xml}.
28-04-2018 00:05:12.169 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [gov.nist.oar.distrib.storage.FilesystemLongTermStorageTest]: FilesystemLongTermStorageTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
28-04-2018 00:05:12.196 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper.getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
